model,beta1,K50,mean_acc,n_items,acc_K3,acc_K5,acc_K7,ABS,OC,log_params,family
gemma2:9b,-1.1119281014489366,4.071712565041047,0.35555555555555557,45,0.7333333333333333,0.3333333333333333,0.0,0.9,0.75,0.9542425094393249,Gemma
yi:34b,-0.8664355268269729,3.326274152791006,0.26666666666666666,45,0.6,0.13333333333333333,0.06666666666666667,0.3,0.75,1.5314789170422551,Yi
mixtral:8x7b,-0.7582078570909879,4.1013613433902,0.37777777777777777,45,0.6666666666666666,0.4,0.06666666666666667,0.4,0.8,1.6693168805661123,Mistral
qwen2.5:7b,-0.6873684150224019,4.295263959510583,0.4083333333333333,120,0.7,0.4,0.125,0.9,,0.8450980400142568,Qwen
qwen2.5:14b,-0.5615057601490584,5.576725414847806,0.5666666666666667,120,0.775,0.65,0.275,0.9,,1.146128035678238,Qwen
qwen2.5:1.5b,-0.5572265636080077,0.829345603342061,0.11666666666666667,60,0.2,0.15,0.0,0.3,0.8,0.17609125905568124,Qwen
gemma2:27b,-0.538892466016294,5.818831558717416,0.5916666666666667,120,0.75,0.75,0.275,0.8,,1.4313637641589874,Gemma
command-r:35b,-0.5304779636264276,4.095340780108333,0.4,45,0.6666666666666666,0.3333333333333333,0.2,0.7,0.7,1.5440680443502757,Cohere
phi3:14b,-0.5202054600298316,4.290361424084789,0.4222222222222222,45,0.7333333333333333,0.26666666666666666,0.26666666666666666,0.2,0.7,1.146128035678238,Phi
qwen2.5:3b,-0.5094802083786227,3.186928580884438,0.3111111111111111,45,0.5333333333333333,0.26666666666666666,0.13333333333333333,0.4,0.75,0.47712125471966244,Qwen
gemma2:2b,-0.48420792959004144,1.989249192269437,0.21666666666666667,60,0.4,0.15,0.1,0.4,0.72,0.3010299956639812,Gemma
qwen2.5:32b,-0.4478487494797506,7.128407810508229,0.7,120,0.875,0.7,0.525,0.9,,1.505149978319906,Qwen
mistral:7b,-0.4292334381691461,3.5749850515068085,0.36666666666666664,120,0.6,0.275,0.225,0.3,,0.8450980400142568,Mistral
qwen2.5:0.5b,-0.27094813852356314,-6.186037105767406,0.05,60,0.1,0.0,0.05,0.0,0.58,-0.3010299956639812,Qwen
tinyllama:1.1b,-0.24866711381138193,-3.3924682844188294,0.11666666666666667,60,0.1,0.25,0.0,0.0,0.44,0.04139268515822507,TinyLlama
llama3.1:8b,-0.19034968017683912,-3.9491286849152987,0.15833333333333333,120,0.175,0.225,0.075,0.6,,0.9030899869919435,Llama
deepseek-r1:7b,-0.16988480617540605,-7.4154501856786235,0.1111111111111111,45,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.4,0.75,0.8450980400142568,DeepSeek
llama3.2:3b,-0.12707269312227396,-8.429004079902827,0.15555555555555556,45,0.2,0.13333333333333333,0.13333333333333333,0.3,0.7,0.47712125471966244,Llama
llama3.2:1b,-3.0510801652590316e-05,-86489.00495969999,0.06666666666666667,60,0.05,0.1,0.05,0.2,0.72,0.0,Llama
deepseek-r1:14b,0.1550361217725626,-1.07524347980089,0.7166666666666667,120,0.675,0.675,0.8,0.7,,1.146128035678238,DeepSeek
